FIPS,year,sba_loan_7a,total_loan_7a,total_loan_504,sba_loan_7a_pp,total_loan_7a_pp,total_loan_504_pp
47037,2012,16726623.966666223,22734352.428381726,4346458.298210087,25.810779396998715,35.08127859106382,6.707000558924782
47037,2013,25774409.912457056,34503258.5323801,5675174.147073885,39.14073662572103,52.39627054632774,8.618257308321997
47037,2014,29491443.283604577,40138104.49741713,271473.19756820594,44.15646897834893,60.097328877601875,0.4064669779501051
47037,2015,46631371.618027665,62701377.806664586,1483782.1852213936,68.74518535154051,92.43600798243989,2.1874304315964888
47037,2016,51188583.53662181,67765543.27353261,5217013.972544084,74.3200212797536,98.38788788753776,7.574512961056167
47037,2017,55232649.330972426,73524163.27725063,1184081.7020082965,78.99451560216653,105.1552973375858,1.6934903832520445
47037,2018,19262395.832219824,25511733.080227114,995867.2255443066,27.144165832507543,35.950601339322034,1.4033552914595384
47037,2019,30518925,41053300,8988000,42.38327523712972,57.01292929854042,12.482119793908925
47093,2009,1736134.4648072973,2219293.057543283,1892178.5079158095,4.049038229213081,5.175867776357601,4.412966432238226
47093,2010,20163845.772930276,23562439.845718447,6268061.211086299,46.54552159344211,54.39071816872407,14.468974903651832
47093,2011,11410333.74805914,15276613.013024032,5469558.932585572,26.111619326287613,34.959284487094536,12.516640081160073
47093,2012,9898616.752272671,13648117.693970293,6834797.538562955,22.459491827851554,30.96693159101289,15.50783137726091
47093,2013,13031934.756134836,17577930.347720258,4218874.73886516,29.328217424484492,39.55892756965319,9.494528475125714
47093,2014,11827342.515306322,16249202.5325757,4433358.016318133,26.390657248922988,36.25726861723766,9.89226715291307
47093,2015,21117044.22943852,28600192.454141602,6257690.085498921,46.68958187836573,63.23475069788055,13.83569264911786
47093,2016,20079856.133055117,27158020.71788916,3268099.3332727454,43.995407909272224,59.50382271539754,7.160477759532579
47093,2017,16958366.65434969,22630066.5251563,3875550.892486285,36.823587289318155,49.13917991261438,8.4154146146533
47093,2018,16580609.139502484,22109967.679913823,3633351.4480091673,35.68392934820572,47.58392878953243,7.8195110491489705
47093,2019,18932140,25565000,152000,40.38649754465904,54.535874429895856,0.3242500650633354
47157,2009,7101674.210639461,8122728.178788496,469288.01112634,7.671903804733919,8.7749433966298,0.5069695358148504
47157,2010,36042482.494059205,42107923.49808342,2564206.859080759,38.77883330883019,45.30476352682691,2.758881838231918
47157,2011,34505286.46497184,45317606.99346481,3492290.155500452,36.98636908989081,48.576143259452124,3.7434012550933704
47157,2012,41926081.01180519,56595616.40585486,4262935.141493796,44.78660123252667,60.45700533671056,4.5537854160146525
47157,2013,31925888.26649196,42364917.82478811,958007.1162167776,34.04520209703222,45.17719842686015,1.0216018301431913
47157,2014,23163873.108884707,31004774.320554346,2816138.3062911946,24.721579855585126,33.08976010475496,3.0055158606721464
47157,2015,32100776.226830706,42918426.14698328,589071.0457365047,34.22815899270425,45.76271625007414,0.6281099643508
47157,2016,25659871.17421703,34278055.53336045,4543276.277355121,27.335423279561002,36.51636248845264,4.839945581733029
47157,2017,39139027.83996202,52071176.92751684,244023.79423997065,41.656718233262154,55.4207517420549,0.25972107637499925
47157,2018,26990246.801690258,36076929.84437139,NA,28.700266053701927,38.3626534630041,NA
47157,2019,27995460,37374200,292000,29.74206262781865,39.70593078537091,0.31021752410294545
51760,2009,1692742.662005123,1894952.6242377385,722426.1255023708,8.331861600202412,9.327160801504878,3.5558591563624184
51760,2010,3509259.542588634,4208148.367624757,1227400.3498799899,17.08932905403819,20.492765294157998,5.977172165689415
51760,2011,4145629.3017543047,6172772.140274849,1726239.687376886,19.942607210740455,29.694205929799445,8.304099940238437
51760,2012,6976683.856930155,9310445.59796023,2454713.034402153,33.05498290524704,44.11216365710821,11.630238527843122
51760,2013,3953654.64796622,5402988.680050327,1480946.1237266068,18.497928032218496,25.278913982503227,6.928889155854712
51760,2014,1753933.4010590985,2575720.7974720364,1099624.8975428108,8.091106369608292,11.882110767817194,5.072702308603058
51760,2015,10066214.184475863,13720913.537308509,1237366.469500378,45.57075034168672,62.11593691626908,5.601680773864051
51760,2016,11012074.979292478,14837946.347699696,525997.3918893614,48.940162833339166,65.94320432200958,2.3376519009708923
51760,2017,4914242.806031901,6843477.419476645,1728759.2849321128,21.447400192169955,29.867225677461025,7.5448840611535495
51760,2018,11250827.637807114,15163819.00634273,1874692.3050266684,48.23526633686367,65.01129268010894,8.03730050301038
51760,2019,6946475,9553200,778000,29.2645807353982,40.24636850797074,3.277611135452125
MERGED,2009,9355765.089795943,11384626.620656801,13146999.602342345,7.103160963062744,8.64352991067437,9.981573228961478
MERGED,2010,56933202.27586186,67754778.60836129,15247343.807840655,43.20735043406932,51.419985981632244,11.57140826019232
MERGED,2011,38392394.50925239,53566511.34967904,24478100.884104654,29.114261617111346,40.62131172815167,18.562578399691095
MERGED,2012,48739108.29380587,65894600.8911675,37629893.89149143,36.94735874904739,49.9523184559508,28.525864300111003
MERGED,2013,37960707.28640277,51502722.96572139,12325500.951594379,28.77605301366137,39.04155618671444,9.343326143189563
MERGED,2014,64643927.71925839,86546452.90328166,14508499.488713263,49.09951292297404,65.73531084337695,11.019755192363046
MERGED,2015,52674939.13750317,71162743.54387115,25357551.999325268,40.07509029744475,54.14061069705338,19.292023925123036
MERGED,2016,91121171.80539992,119565268.72010142,13376260.36824619,69.44036283906223,91.11664696987356,10.19359557166866
MERGED,2017,73190581.72088833,95732799.68011823,9416023.621622495,55.86905244037832,73.07635326617871,7.187595796169649
MERGED,2018,61767871.602947645,82366997.7134688,19064753.01586593,47.22841510057518,62.97874052720625,14.577126358038381
MERGED,2019,59451150,76052700,21013000,45.53305965519618,58.248025917728064,16.093653067007743
