neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Iroquois,2015,218017.587364284,929719.2307313457,67.62332114276799,288.37445121940004
Iroquois,2016,433043.6169297853,1362477.7587814827,149.73845675303778,471.11955697838266
Iroquois,2017,403085.0009200272,1652138.2695937317,139.37932258645478,571.2787930822033
Iroquois,2018,429000,983000,148.3402489626556,339.90318118948824
J-Town,2012,6294493.819638526,15233682.569238769,182.36980500184055,441.3641190566064
J-Town,2013,3388515.2199581857,12498470.177595127,96.95877360530461,357.6304846513428
J-Town,2014,3201716.012580513,14855210.514943846,89.12222721170531,413.5062077924522
J-Town,2015,3441961.639849947,15377814.442004893,95.54900035671507,426.88877778099805
J-Town,2016,4516881.211088513,18416018.97815302,123.42891682165632,503.2386658874988
J-Town,2017,5122974.708654446,20017281.581293825,139.99111104397994,546.9949878752241
J-Town,2018,4055865.937969668,19344436.480393495,110.83115010164416,528.6087301651454
Jacobs,2012,1245992.1999559263,1344897.5342060947,271.6355351985887,293.19763117638865
Jacobs,2013,3186.1644227836205,200728.3586353681,0.7063100028338772,44.49753017853427
Jacobs,2014,228226.48496054517,444936.954624916,51.79902064469931,100.9843292385193
Jacobs,2015,555525.583187839,1253601.127344633,127.50185521869153,287.7211676255756
Jacobs,2016,321926.9094681857,803778.7997689539,74.09134855424297,184.98936703543242
Jacobs,2017,7143.278497316937,1072512.2429543003,1.6440226691178221,246.8382607489759
Jacobs,2018,60000,195000,13.80897583429229,44.87917146144994
Kenwood Hill,2012,901973.646042297,1695366.4360056047,141.3530239840616,265.68977213690715
Kenwood Hill,2013,1111971.3835514835,1683356.8700373461,180.83775956277177,273.76107823017503
Kenwood Hill,2014,718180.5902886878,1821624.2377584798,110.91592128010623,281.33192861134825
Kenwood Hill,2015,1195952.2460704232,1695925.2709394784,169.66268209255543,240.59090238891736
Kenwood Hill,2016,1111167.0746159959,1721789.7287040383,155.84390948330937,241.4852354423616
Kenwood Hill,2017,669427.242034273,1510293.1680041526,93.88881374954741,211.8223237032472
Kenwood Hill,2018,543000,2567000,76.15708274894811,360.0280504908836
